"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5819",-2.08093204472573,0.0959351948151825,-21.6910180745931,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301612655569226,5819
"scaled_rainfall_deviation:factor(COD_MUNI)5837",-2.14388256279436,0.0811198297668398,-26.4285880401433,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000097705287880894,5837
"scaled_rainfall_deviation:factor(COD_MUNI)5842",-2.04517311709206,0.0899766045277711,-22.7300544160991,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000284247638001535,5842
"scaled_rainfall_deviation:factor(COD_MUNI)5847",-2.24999485757802,0.0841719693741884,-26.7309280548685,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000318698574179259,5847
"scaled_rainfall_deviation:factor(COD_MUNI)5854",-2.08180498681712,0.0740547011868204,-28.1117194918562,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120259470063583,5854
"scaled_rainfall_deviation:factor(COD_MUNI)5856",-2.07982631673909,0.0796696384280923,-26.1056326823459,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000468503974686819,5856
"scaled_rainfall_deviation:factor(COD_MUNI)5858",-2.08505699206026,0.0846306532332121,-24.6371369285616,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000693362435552858,5858
"scaled_rainfall_deviation:factor(COD_MUNI)5861",-2.09594562059976,0.0790641779956964,-26.5094215070932,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115242758449395,5861
"scaled_rainfall_deviation:factor(COD_MUNI)5873",-2.08020292413056,0.0696574419657674,-29.8633263787214,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116445380181419,5873
"scaled_rainfall_deviation:factor(COD_MUNI)5885",-2.04455265646837,0.0836493704121456,-24.4419371765111,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000832598393217124,5885
"scaled_rainfall_deviation:factor(COD_MUNI)5887",-2.12972890915691,0.085638937573828,-24.8686983922576,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000225336284449701,5887
"scaled_rainfall_deviation:factor(COD_MUNI)5890",-2.08256729295819,0.0805913057379635,-25.8410913421542,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000449042146439549,5890
"scaled_rainfall_deviation:factor(COD_MUNI)5893",-2.10239771390985,0.0798640303447826,-26.3247134515194,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150903669447689,5893
