"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5819",-2.08115051730378,0.0959352288504539,-21.6932876717054,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000287115811707309,5819
"scaled_rainfall_deviation:factor(COD_MUNI)5837",-2.14384482010094,0.0811199606309372,-26.4280801349814,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000990242171795072,5837
"scaled_rainfall_deviation:factor(COD_MUNI)5842",-2.04511264413428,0.0899767443199901,-22.7293470061676,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000288855573022912,5842
"scaled_rainfall_deviation:factor(COD_MUNI)5847",-2.24991068226814,0.0841720884597209,-26.7298901980411,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327653785982211,5847
"scaled_rainfall_deviation:factor(COD_MUNI)5854",-2.08214389567706,0.074054431951945,-28.1163981789529,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105456901589255,5854
"scaled_rainfall_deviation:factor(COD_MUNI)5856",-2.07985535600641,0.0796697686397099,-26.1059545109529,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000464587040678157,5856
"scaled_rainfall_deviation:factor(COD_MUNI)5858",-2.08513687064101,0.0846307753085453,-24.6380452387333,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000678024172427013,5858
"scaled_rainfall_deviation:factor(COD_MUNI)5861",-2.09601461596849,0.0790642946311043,-26.5102550493622,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112726449799614,5861
"scaled_rainfall_deviation:factor(COD_MUNI)5873",-2.08019741691073,0.0696575580467611,-29.8631975515751,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116893092475348,5873
"scaled_rainfall_deviation:factor(COD_MUNI)5885",-2.04457728384117,0.0836495081064016,-24.4421913544367,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000082744286699614,5885
"scaled_rainfall_deviation:factor(COD_MUNI)5887",-2.13002689706309,0.085638817855556,-24.872212746511,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206486142303498,5887
"scaled_rainfall_deviation:factor(COD_MUNI)5890",-2.08259471084791,0.0805914378052367,-25.8413892041592,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000445601212793846,5890
"scaled_rainfall_deviation:factor(COD_MUNI)5893",-2.10246622118215,0.079864148679875,-26.3255322436304,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000147688532965289,5893
